title,location,founder,description,linkedin,website
Balance,San Francisco,Bar Geron,The first B2B Checkout Platform,https://www.linkedin.com/in/bar-geron-76b87270,https://www.getbalance.com
Batch,"Portland, OR",Daniel Selans,Observability and replays for messaging systems,None,https://batch.sh
Justo,"Providencia, Chile",Nicolás López Jullian,Helps restaurants take online orders directly from customers,https://www.linkedin.com/in/nicolaslopezj/,https://www.getjusto.com
Hellometer,"Los Angeles, CA",Alexander Popper,Making fast food faster,https://www.linkedin.com/in/alexanderpopper/,https://hellometer.io/
Stacker,"London, United Kingdom",Sam Davyson,Turns spreadsheets into internal apps and customer portals,https://www.linkedin.com/in/davyson/,https://stackerhq.com
KeyDB,"Toronto, Canada",John Sully,The only database you'll ever need,https://www.linkedin.com/in/jdsully/,https://keydb.dev
Yotta,New York,Ben Doyle,Save money and win prizes up to $10m through weekly number draws.,https://linkedin.com/in/doyleb,https://www.withyotta.com
Mesh,"San Jose, CA",Gaurav Chaubey,Social network for remote companies to drive goals & feedback,https://www.linkedin.com/in/gaurav-chaubey/,https://mesh.ai/
Vectrix,San Francisco,Alex Dunbrack,Scan your cloud & SaaS apps and detect security issues instantly,https://linkedin.com/in/alexdunbrack,https://www.vectrix.io
MarketForce,"Nairobi, Kenya",Tesh Mbaabu,The operating system for retail distribution in Africa. ,http://linkedin.com/in/teshmbaabu/,https://marketforce360.com
Atomic,San Francisco,David Dindi,API that lets companies embed investment accounts into their services,https://www.linkedin.com/in/david-dindi-2a532a48,https://www.atomicinvest.co/
Bits,"London, United Kingdom",Faisal Khalid,Bits is a digital credit card that helps people build credit ,http://uk.linkedin.com/in/faisalkhalid,https://www.getbits.app
LayerCI,"Toronto, Canada",Colin Chartier,On-demand staging environments + CI/CD platform ,https://www.linkedin.com/in/colinchartier/,https://www.layerci.com
StartPack,San Francisco,Arjun Mahadevan,"""Business-in-a-Box"" for online SMBs",https://www.linkedin.com/in/mahadevanarjun/,https://startpack.io
Workbase,San Francisco,Ed Parsons,Data & workflow platform for B2B account teams,https://www.linkedin.com/in/efparsons/,https://getworkbase.io/
Omni,San Francisco,Andrew Chang,"Fast, up-to-date answers for Sales & Support",https://www.linkedin.com/in/andrew-chang-22a3a7110/,https://addomni.com
Cradle,"Bengaluru, India",Gaurav Mishra,B2B payments network in India,https://www.linkedin.com/in/gaurav-mishra-5110b5b4/,https://www.cradlefinance.com
Humanloop,"London, United Kingdom",Jordan Burgess,Train and deploy NLP with 10x less labelled data,https://www.linkedin.com/in/jordanburgess/,https://humanloop.com
Minimall,"Paris, France",Anne GERARD,Pinduoduo for Europe. Customers save 50% buying directly from…,https://www.linkedin.com/in/anne-gerard-安娜-8a394682,https://www.minimall.co
Speedscale,"Atlanta, GA",Ken Ahrens,Accelerate development by simulating API's with production traffic.,https://www.linkedin.com/in/kahrens/,https://speedscale.com
BukuWarung,Indonesia,Chinmay Chauhan,Accounting app for 60M micro-businesses in Indonesia,https://www.linkedin.com/in/chinmaychauhan/,http://bukuwarung.com/app
Enombic,San Francisco,Keri McKiernan,"Create, share and invest in custom stock indexes",https://linkedin.com/in/kerimckiernan,http://www.enombic.com
Hypotenuse,Singapore,Joshua Wong,Automatically generate copywriting for e-commerce,https://www.linkedin.com/in/jwonged/,https://hypotenuse.ai/
Charityvest,"Atlanta, GA",Ashby Foltz,The simplest way to offer a charitable giving benefit for employees.,https://www.linkedin.com/in/ashbyfoltz/,https://www.charityvest.org
Atomized,"Charlotte, NC",Nik Kotov,Enabling developers to launch applications faster.,https://linkedin.com/in/nikkotov,https://atomizedhq.com
Duckly,San Francisco,Dragos Fotescu,Video chat with real-time collaboration.,https://www.linkedin.com/in/dragos-fotescu/,https://duckly.com
Explorex,"Bengaluru, India",Pritam Khan,Toast for India,https://www.linkedin.com/in/iampkhan,https://explorex.co
Volopay,Singapore,Rajesh Raikwar,Brex for South East Asia - Corporate cards & automated payments.,https://in.linkedin.com/in/rajeshraikwar,https://www.volopay.co/
Queue,San Francisco,Masud Hossain,Platform for providing services online built for creatives,https://www.linkedin.com/in/masud-hossain-11a7baab/,https://queue.gg
Nototo,"Vancouver, Canada",Austa Jiang,A workspace with a spatial interface,https://www.linkedin.com/in/austajiang/,https://www.nototo.app
Safepay,San Francisco,Raza Naqvi,Digital payments for businesses in Pakistan,https://www.linkedin.com/in/raza-naqvi-32673556/,https://getsafepay.pk/
Creation Labs,"London, United Kingdom",James Hennessey,Fuel-efficient Autopilot for trucks in Europe,https://www.linkedin.com/in/james-hennessey-2357391a/,https://creationlabs.ai
Bento,San Francisco,Emily Wang,Customer onboarding as a service,https://www.linkedin.com/in/emilyyidanwang/,http://trybento.co/
Seam,San Francisco,Sy Bohy,API for IoT Devices ,https://www.linkedin.com/in/sybohy/,https://getseam.com
Conta Simples,"São Paulo, Brazil",Ricardo Gottschalk,Digital bank account for online businesses and startups in Brazil,https://www.linkedin.com/in/ricardo-gottschalk-32786111/,https://contasimples.com/
QuestDB,"London, United Kingdom",Nicolas Hourcard,The fastest open source time series database,https://www.linkedin.com/in/nicolas-hourcard-cfa-b7349b37/,https://www.questdb.io/
Synth,"London, United Kingdom",Nodar Daneliya,The easiest way to generate realistic synthetic test data for your…,https://www.linkedin.com/in/ndaneliya/,https://www.getsynth.com
Dripos,Boston,Avery Durrant,The only piece of software a restaurant needs to operate.,https://www.linkedin.com/in/avery-durrant/,https://dripos.com
Gather,"Cleveland, OH",Alex Hilleary,Project management software for People Operations,https://www.linkedin.com/in/alex-hilleary/,https://www.teamgather.co/
Hubble,"London, United Kingdom",Hamzah Chaudhary,Automated testing and monitoring of data metrics,https://www.linkedin.com/in/hamzahc/,https://gethubble.io
Datafold,San Francisco,Gleb Mezhanskiy,Monitoring & testing for analytical data,https://www.linkedin.com/in/glebmezh/,https://datafold.com
Depict.ai,"Stockholm, Sweden",Oliver Edholm,Amazon-quality product recommendations for any e-commerce store,https://linkedin.com/in/oliver-edholm-293950118/,https://depict.ai/
inFeedo,"Gurugram, India",Tanmaya Jain,AI bot that engages employees & predicts attrition,https://www.linkedin.com/in/tanmayajain/,https://www.infeedo.com
Bandit ML,San Francisco,Edoardo Conti,TBD,https://www.linkedin.com/in/edoardoconti,https://www.banditml.com/
SuperTokens,San Francisco,Rishabh Poddar,Open source alternative to Auth0 / AWS Cognito / Firebase Auth,https://www.linkedin.com/in/rishabh-poddar-b64b73129/,https://supertokens.io/
Roboflow,"Des Moines, IA",Brad Dwyer,🖼️ Build a computer vision model without machine learning expertise.,https://www.linkedin.com/in/brad-dwyer-b6b4136,https://roboflow.com
Jeeves,New York,Sherwin Gandhi,"International banking infrastructure, starting with corporate cards…",https://www.linkedin.com/in/sherwingandhi/,http://www.tryjeeves.com
DigitalBrain,Palo Alto,Kesava Kirupa Dinakaran,Superhuman for customer support agents,https://www.linkedin.com/in/kesavakirupa/,https://www.digitalbrain.app
Jitsu,San Francisco,Vladimir Klimontovich,Open-source data integration and event collection platform.,https://www.linkedin.com/in/klimontovich/,https://jitsu.com
Perch Credit,"Los Angeles, CA",Michael Broughton,Breaking the barriers of traditional credit building. ,https://www.linkedin.com/in/michael-j-broughton/,https://getperch.app/
Reploy,San Francisco,Himank Yadav,"Instant, shareable staging environments",https://www.linkedin.com/in/himankyadav/,https://getreploy.com/
Thndr,"Cairo, Egypt",Ahmad Hammouda,Investment platform for MENA individuals,https://www.linkedin.com/in/ahmad-hammouda-cfa-a6575018/,http://www.thndr.app
Response,San Francisco,Kais Baillargeon,The single store for all your vendors.,http://www.linkedin.com/in/kaisbaillargeon,https://www.tryresponse.com/
Fig,San Francisco,Brendan Falk,"Fig adds visual apps, shortcuts, and autocomplete to your terminal.",https://www.linkedin.com/in/brendanfalk/,http://withfig.com
Openbase,San Francisco,Lior Grossman,We help developers choose among millions of open-source packages,https://www.linkedin.com/in/liorgrossman,https://openbase.com
Porter,New York,Justin Rhee,Heroku in your own cloud,https://www.linkedin.com/in/justin-rhee-61634112a/,https://getporter.dev
RTCanary,"San Jose, CA",David Albers,We are a monitoring and analytics plugin for all video chat platforms.,https://www.linkedin.com/in/david-albers-352152133/,https://www.RTCanary.com
Metamanagement,San Francisco,Nikhil Bhargava,We help SaaS companies deploy into their customer's environment.,https://www.linkedin.com/in/nikhil-bhargava/,https://metamanagement.dev
